,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Puerto Ayora,20,EC,1567536176,65,-0.74,-90.35,26.0,9.3
1,Destin,1,US,1567536173,46,30.39,-86.5,35.0,4.6
2,Kampong Chhnang,100,KH,1567536383,80,12.25,104.67,25.97,5.77
3,Georgetown,100,SH,1567536383,80,-7.93,-14.42,22.97,7.82
4,Qaqortoq,75,GL,1567536317,76,60.72,-46.03,10.0,1.0
5,Busselton,17,AU,1567536383,55,-33.64,115.35,11.11,13.58
6,Nshamba,99,TZ,1567536383,52,-1.8,31.55,23.27,0.94
7,San Buenaventura,75,MX,1567536384,35,27.06,-101.55,32.0,4.1
8,Castro,0,CL,1567536384,61,-42.48,-73.76,10.0,4.1
9,Whitehorse,20,CA,1567536354,54,60.72,-135.06,14.0,4.1
10,Tasiilaq,5,GL,1567536384,55,65.61,-37.64,9.0,2.1
11,Arraial do Cabo,0,BR,1567536287,83,-22.97,-42.02,24.0,3.6
12,Pozo Colorado,93,PY,1567536384,22,-23.49,-58.8,26.67,2.69
13,Bronnoysund,75,NO,1567536384,81,65.46,12.2,10.0,6.7
14,Dahegam,75,IN,1567536384,89,23.17,72.82,29.0,3.1
15,Pisco,90,PE,1567536385,30,-13.71,-76.2,22.0,3.6
16,Rikitea,100,PF,1567536385,90,-23.12,-134.97,21.77,6.62
17,Cacheu,74,GW,1567536385,87,12.27,-16.16,27.07,5.13
18,Saint-Philippe,0,RE,1567536385,52,-21.36,55.77,20.0,2.1
19,Butaritari,63,KI,1567536385,63,3.07,172.79,28.77,1.24
20,Jamestown,90,SH,1567536385,76,-15.94,-5.72,19.27,8.63
21,Abong Mbang,83,CM,1567536386,89,3.98,13.18,22.27,1.32
22,Roma,2,AU,1567536386,33,-26.57,148.79,15.47,2.71
23,Hobart,0,AU,1567536386,93,-42.88,147.33,9.44,4.1
24,Victoria,40,SC,1567536314,83,-4.62,55.45,26.0,6.7
25,Kaitangata,100,NZ,1567536386,76,-46.28,169.85,6.11,0.89
26,Auchel,90,FR,1567536386,77,50.51,2.47,18.0,5.1
27,Bethel,90,US,1567536386,93,60.79,-161.76,11.0,6.2
28,Tezu,97,IN,1567536387,92,27.93,96.16,23.77,1.96
29,Umm Kaddadah,0,SD,1567536387,18,13.6,26.69,35.87,1.97
30,Thompson,75,CA,1567536387,51,55.74,-97.86,15.0,6.2
31,Klaksvik,75,FO,1567536387,71,62.23,-6.59,10.0,3.1
32,Avarua,63,CK,1567536177,64,-21.21,-159.78,21.0,3.6
33,Salalah,90,OM,1567536387,94,17.01,54.1,26.0,2.1
34,Yellowknife,90,CA,1567536387,76,62.45,-114.38,9.0,6.2
35,Ullapool,100,GB,1567536388,91,57.9,-5.16,15.56,2.24
36,Itupiranga,75,BR,1567536388,44,-5.13,-49.33,36.0,4.1
37,Cartagena,100,CO,1567536388,63,9.69,-73.26,31.87,1.94
38,Ushuaia,75,AR,1567536388,64,-54.81,-68.31,2.0,8.2
39,Frankfort,0,ZA,1567536388,14,-27.28,28.49,11.07,3.13
40,Pangnirtung,90,CA,1567536250,93,66.15,-65.72,7.0,2.1
41,Ostrzeszow,27,PL,1567536388,7,51.43,17.93,18.89,1.59
42,Vaini,90,TO,1567536389,83,-21.2,-175.2,23.0,3.6
43,Atuona,1,PF,1567536389,76,-9.8,-139.03,26.27,6.64
44,Talaya,20,RU,1567536389,93,55.79,84.89,9.0,2.0
45,Banda Aceh,99,ID,1567536101,82,5.56,95.32,27.87,8.87
46,Haimen,79,CN,1567536389,94,31.87,121.18,25.56,1.28
47,Nanortalik,100,GL,1567536263,80,60.14,-45.24,8.97,3.63
48,Erdenet,100,MN,1567536390,93,49.03,104.04,12.67,1.17
49,Cape Town,40,ZA,1567536224,76,-33.93,18.42,15.0,6.2
50,Punta Arenas,40,CL,1567536390,45,-53.16,-70.91,6.0,7.2
51,Flinders,0,AU,1567536390,87,-34.58,150.85,10.0,1.5
52,Vila Franca do Campo,75,PT,1567536390,60,37.72,-25.43,22.0,5.7
53,Upernavik,0,GL,1567536390,52,72.79,-56.15,4.37,2.65
54,Tazmalt,40,DZ,1567536390,65,36.39,4.4,26.0,3.1
55,Sitka,0,US,1567536391,34,37.17,-99.65,35.56,4.47
56,Carnarvon,0,AU,1567536391,82,-24.87,113.63,17.0,7.7
57,Xining,31,CN,1567536288,85,36.62,101.77,9.17,0.78
58,Bluff,100,NZ,1567536391,95,-46.6,168.33,3.89,1.64
59,Russell,93,NZ,1567536237,96,-35.26,174.12,13.33,1.17
60,Sur,84,OM,1567536253,50,22.57,59.53,29.47,3.52
61,Anadyr,40,RU,1567536391,86,64.73,177.51,5.0,4.0
62,Anchorage,90,US,1567536307,93,61.22,-149.89,13.33,2.04
63,Samarai,100,PG,1567536391,84,-10.62,150.67,20.77,3.38
64,Leningradskiy,97,RU,1567536392,87,69.38,178.42,1.37,2.78
65,Constitucion,40,MX,1567536237,59,23.99,-104.67,21.67,7.08
66,Lebu,0,CL,1567536392,59,-37.62,-73.65,9.87,10.6
67,Marquard,1,ZA,1567536392,51,-28.66,27.43,7.87,0.97
68,Karatau,100,KZ,1567536392,29,43.18,70.46,14.17,1.83
69,Guerrero Negro,0,MX,1567536392,80,27.97,-114.04,22.07,3.26
70,Batemans Bay,0,AU,1567536393,92,-35.71,150.18,8.33,1.79
71,Shahr-e Babak,0,IR,1567536393,14,30.12,55.12,23.57,2.65
72,Kavaratti,100,IN,1567536393,80,10.57,72.64,27.87,8.0
73,Shakawe,31,BW,1567536393,22,-18.36,21.84,22.37,1.94
74,Luderitz,0,NA,1567536393,93,-26.65,15.16,12.0,6.2
75,Talnakh,75,RU,1567536394,93,69.49,88.39,8.0,2.0
76,Korla,15,CN,1567536311,85,41.76,86.15,20.56,1.79
77,Daru,100,PG,1567536394,79,-9.07,143.21,22.47,3.4
78,Tapejara,46,BR,1567536394,56,-23.73,-52.87,24.37,4.56
79,Magistralnyy,0,RU,1567536273,91,56.17,107.45,6.97,0.65
80,Nikolskoye,75,RU,1567536394,82,59.7,30.79,14.44,2.0
81,Saryg-Sep,0,RU,1567536394,80,51.49,95.55,9.97,1.35
82,Cusuna,1,HN,1567536394,79,15.85,-85.23,27.77,5.13
83,Ilulissat,20,GL,1567536395,43,69.22,-51.1,11.0,3.6
84,Hilo,1,US,1567536395,57,19.71,-155.08,27.0,2.6
85,Kahului,20,US,1567536092,57,20.89,-156.47,28.0,6.48
86,Urucara,44,BR,1567536395,34,-2.54,-57.76,36.37,1.76
87,Gallup,1,US,1567536395,19,35.53,-108.74,30.56,4.1
88,Qaanaaq,33,GL,1567536395,48,77.48,-69.36,1.77,3.55
89,Owando,83,CG,1567536396,73,-0.49,15.91,26.27,0.88
90,Sihora,62,IN,1567536396,86,23.49,80.11,26.07,1.15
91,Lagoa,0,PT,1567536396,69,37.14,-8.45,27.0,2.6
92,Hithadhoo,56,MV,1567536396,75,-0.6,73.08,28.47,5.37
93,Kiama,0,AU,1567536257,87,-34.67,150.86,12.22,1.5
94,Staryy Nadym,93,RU,1567536396,82,65.61,72.68,8.17,1.93
95,Jinchang,0,CN,1567536396,41,38.52,102.19,19.07,1.95
96,Iqaluit,90,CA,1567536308,87,63.75,-68.52,7.0,9.3
97,Torbay,90,CA,1567536222,72,47.66,-52.73,19.44,10.8
98,Verkhnevilyuysk,100,RU,1567536397,98,63.45,120.31,6.77,1.42
99,Clyde River,75,CA,1567536397,100,70.47,-68.59,6.0,5.1
100,Songjianghe,0,CN,1567536397,96,42.18,127.48,14.37,1.25
101,Hereford,1,US,1567536397,23,34.82,-102.4,34.0,6.7
102,Geraldton,90,CA,1567536397,58,49.72,-86.95,13.0,5.1
103,Mochudi,0,BW,1567536397,21,-24.38,26.15,21.0,2.6
104,Kavieng,100,PG,1567536398,75,-2.57,150.8,28.27,3.87
105,Bredasdorp,0,ZA,1567536253,81,-34.53,20.04,13.33,3.6
106,Kupino,86,RU,1567536398,94,54.36,77.31,8.17,3.75
107,Chuy,30,UY,1567536398,51,-33.69,-53.46,10.77,4.45
108,Puerto Colombia,40,CO,1567536242,70,10.99,-74.96,32.0,3.6
109,Lerwick,2,GB,1567536326,81,60.15,-1.15,12.0,5.7
110,Mahebourg,75,MU,1567536399,73,-20.41,57.7,23.0,3.1
111,Hermanus,15,ZA,1567536399,88,-34.42,19.24,13.89,2.51
